"Hist. Time Series - POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA EMTN,REGS, FXD- NT DUE 2027",,,,,,,,,
,,,,,,,,,
Date,Open,High,Low,Close,Yield,Bid,Ask,Currency,Volume
19/03/2025,,,,100.73,3.35,100.73,101.03,Euro,
18/03/2025,,,,100.74,3.35,100.74,101.04,Euro,
17/03/2025,,,,100.74,3.35,100.74,101.04,Euro,
14/03/2025,,,,100.74,3.35,100.74,101.04,Euro,
13/03/2025,,,,100.77,3.33,100.77,101.07,Euro,
12/03/2025,,,,100.76,3.34,100.76,101.06,Euro,
11/03/2025,,,,100.75,3.35,100.75,101.05,Euro,
10/03/2025,,,,100.66,3.41,100.66,100.96,Euro,
07/03/2025,,,,100.54,3.49,100.54,101.04,Euro,
06/03/2025,,,,100.49,3.52,100.49,100.99,Euro,
05/03/2025,,,,100.66,3.41,100.66,100.86,Euro,
04/03/2025,,,,100.85,3.28,100.85,101.05,Euro,
03/03/2025,,,,100.84,3.29,100.84,101.04,Euro,
28/02/2025,,,,100.87,3.27,100.87,101.07,Euro,
27/02/2025,,,,100.88,3.26,100.88,101.08,Euro,
26/02/2025,,,,100.86,3.28,100.86,101.06,Euro,
25/02/2025,,,,100.82,3.31,100.82,101.02,Euro,
24/02/2025,,,,100.76,3.35,100.76,100.96,Euro,
21/02/2025,,,,100.73,3.37,100.73,100.93,Euro,
20/02/2025,,,,100.68,3.41,100.68,100.88,Euro,
19/02/2025,,,,100.62,3.45,100.62,100.82,Euro,
18/02/2025,,,,100.61,3.45,100.61,100.81,Euro,
17/02/2025,,,,100.60,3.46,100.60,100.80,Euro,
14/02/2025,,,,100.53,3.51,100.53,100.73,Euro,
13/02/2025,,,,100.54,3.51,100.54,100.74,Euro,
12/02/2025,,,,100.46,3.56,100.46,100.66,Euro,
11/02/2025,,,,100.50,3.53,100.50,100.70,Euro,
10/02/2025,,,,100.51,3.53,100.51,100.71,Euro,
07/02/2025,,,,100.52,3.52,100.52,100.72,Euro,
06/02/2025,,,,100.50,3.53,100.50,100.70,Euro,
05/02/2025,,,,100.52,3.53,100.52,100.72,Euro,
04/02/2025,,,,100.49,3.55,100.49,100.69,Euro,
03/02/2025,,,,100.49,3.54,100.49,100.69,Euro,
31/01/2025,,,,100.46,3.56,100.46,100.66,Euro,
30/01/2025,,,,100.42,3.59,100.42,100.62,Euro,
29/01/2025,,,,100.35,3.64,100.35,100.55,Euro,
28/01/2025,,,,100.35,3.64,100.35,100.55,Euro,
27/01/2025,,,,100.34,3.65,100.34,100.54,Euro,
24/01/2025,,,,100.30,3.67,100.30,100.50,Euro,
23/01/2025,,,,100.27,3.69,100.27,100.47,Euro,
22/01/2025,,,,100.25,3.70,100.25,100.45,Euro,
21/01/2025,,,,100.27,3.69,100.27,100.47,Euro,
20/01/2025,,,,100.25,3.71,100.25,100.45,Euro,
17/01/2025,,,,100.23,3.72,100.23,100.43,Euro,
16/01/2025,,,,100.24,3.71,100.24,100.44,Euro,
15/01/2025,,,,100.22,3.73,100.22,100.42,Euro,
14/01/2025,,,,100.15,3.77,100.15,100.35,Euro,
13/01/2025,,,,100.19,3.75,100.19,100.39,Euro,
10/01/2025,,,,100.13,3.78,100.13,100.43,Euro,
09/01/2025,,,,100.17,3.76,100.17,100.47,Euro,
08/01/2025,,,,100.17,3.76,100.17,100.47,Euro,
07/01/2025,,,,100.18,3.75,100.18,100.48,Euro,
06/01/2025,,,,100.18,3.75,100.18,100.48,Euro,
03/01/2025,,,,100.23,3.72,100.23,100.53,Euro,
02/01/2025,,,,100.27,3.70,100.27,100.57,Euro,
01/01/2025,,,,100.35,3.65,100.35,100.65,Euro,
31/12/2024,,,,100.35,3.65,100.35,100.65,Euro,
30/12/2024,,,,100.35,3.65,100.35,100.65,Euro,
27/12/2024,,,,100.22,3.73,100.22,100.52,Euro,
26/12/2024,,,,100.33,3.66,100.33,100.63,Euro,
25/12/2024,,,,100.33,3.66,100.33,100.63,Euro,
24/12/2024,,,,100.33,3.66,100.33,100.63,Euro,
23/12/2024,,,,100.37,3.64,100.37,100.67,Euro,
20/12/2024,,,,100.38,3.63,100.38,100.68,Euro,
19/12/2024,,,,100.38,3.63,100.38,100.68,Euro,
18/12/2024,,,,100.46,3.59,100.46,100.76,Euro,
17/12/2024,,,,100.45,3.60,100.45,100.75,Euro,
16/12/2024,,,,100.55,3.53,100.55,100.75,Euro,
13/12/2024,,,,100.53,3.55,100.53,100.73,Euro,
12/12/2024,,,,100.56,3.53,100.56,100.76,Euro,
11/12/2024,,,,100.61,3.50,100.61,100.81,Euro,
10/12/2024,,,,100.54,3.54,100.54,100.74,Euro,
09/12/2024,,,,100.51,3.56,100.51,100.71,Euro,
06/12/2024,,,,100.39,3.63,100.39,100.59,Euro,
05/12/2024,,,,100.34,3.66,100.34,100.54,Euro,
04/12/2024,,,,100.39,3.63,100.39,100.59,Euro,
03/12/2024,,,,100.38,3.64,100.38,100.58,Euro,
02/12/2024,,,,100.41,3.62,100.41,100.61,Euro,
29/11/2024,,,,100.35,3.66,100.35,100.55,Euro,
28/11/2024,,,,100.31,3.68,100.31,100.51,Euro,
27/11/2024,,,,100.23,3.73,100.23,100.43,Euro,
26/11/2024,,,,100.26,3.71,100.26,100.46,Euro,
25/11/2024,,,,100.27,3.71,100.27,100.47,Euro,
22/11/2024,,,,100.30,3.70,100.30,100.50,Euro,
21/11/2024,,,,100.20,3.75,100.20,100.40,Euro,
20/11/2024,,,,100.19,3.76,100.19,100.39,Euro,
19/11/2024,,,,100.18,3.76,100.18,100.38,Euro,
18/11/2024,,,,100.15,3.78,100.15,100.35,Euro,
15/11/2024,,,,100.19,3.76,100.19,100.39,Euro,
14/11/2024,,,,100.23,3.74,100.23,100.43,Euro,
13/11/2024,,,,100.17,3.77,100.17,100.37,Euro,
12/11/2024,,,,100.18,3.77,100.18,100.38,Euro,
11/11/2024,,,,100.19,3.76,100.19,100.39,Euro,
08/11/2024,,,,100.13,3.80,100.13,100.33,Euro,
07/11/2024,,,,100.08,3.82,100.08,100.28,Euro,
06/11/2024,,,,100.10,3.81,100.10,100.30,Euro,
05/11/2024,,,,99.90,3.93,99.90,100.10,Euro,
04/11/2024,,,,99.95,3.90,99.95,100.15,Euro,
01/11/2024,,,,99.92,3.92,99.92,100.12,Euro,
31/10/2024,,,,99.91,3.92,99.91,100.11,Euro,
30/10/2024,,,,100.00,3.87,100.00,100.20,Euro,
29/10/2024,,,,100.19,3.77,100.19,100.39,Euro,
28/10/2024,,,,100.25,3.73,100.25,100.45,Euro,
25/10/2024,,,,100.20,3.76,100.20,100.40,Euro,
24/10/2024,,,,100.26,3.73,100.26,100.46,Euro,
23/10/2024,,,,100.18,3.77,100.18,100.38,Euro,
22/10/2024,,,,100.10,3.81,100.10,100.30,Euro,
21/10/2024,,,,100.18,3.77,100.18,100.38,Euro,
18/10/2024,,,,100.29,3.71,100.29,100.49,Euro,
17/10/2024,,,,100.21,3.75,100.21,100.41,Euro,
16/10/2024,,,,100.18,3.77,100.18,100.38,Euro,
15/10/2024,,,,100.13,3.80,100.13,100.33,Euro,
14/10/2024,,,,100.09,3.82,100.09,100.29,Euro,
11/10/2024,,,,100.11,3.81,100.11,100.26,Euro,
10/10/2024,,,,100.09,3.82,100.09,100.29,Euro,
09/10/2024,,,,100.08,3.83,100.08,100.28,Euro,
08/10/2024,,,,100.09,3.82,100.09,100.29,Euro,
07/10/2024,,,,100.09,3.82,100.09,100.29,Euro,
04/10/2024,,,,100.13,3.80,100.13,100.33,Euro,
03/10/2024,,,,100.29,3.71,100.29,100.49,Euro,
02/10/2024,,,,100.35,3.68,100.35,100.55,Euro,
01/10/2024,,,,100.38,3.67,100.38,100.58,Euro,
30/09/2024,,,,100.32,3.70,100.32,100.52,Euro,
27/09/2024,,,,100.31,3.71,100.31,100.51,Euro,
26/09/2024,,,,100.16,3.79,100.16,100.36,Euro,
25/09/2024,,,,100.16,3.79,100.16,100.36,Euro,
24/09/2024,,,,100.20,3.77,100.20,100.40,Euro,
23/09/2024,,,,100.14,3.80,100.14,100.34,Euro,
20/09/2024,,,,100.05,3.85,100.05,100.25,Euro,
19/09/2024,,,,100.08,3.83,100.08,100.28,Euro,
18/09/2024,,,,100.00,3.87,100.00,100.20,Euro,
17/09/2024,,,,100.05,3.85,100.05,100.25,Euro,
16/09/2024,,,,100.11,3.82,100.11,100.31,Euro,
13/09/2024,,,,100.02,3.87,100.02,100.22,Euro,
12/09/2024,,,,100.00,3.88,100.00,100.20,Euro,
11/09/2024,,,,100.07,3.84,100.07,100.27,Euro,
